제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
베이직 푸퍼_SPJPC4TC11,https://www.musinsa.com/app/goods/2037173,69900,62910,스파오,,,"65,017",//image.msscdn.net/images/goods_img/20210722/2037173/2037173_45_500.jpg?t=20221107142824,,,,,,,,
PERTEX® T Down Jacket Black,https://www.musinsa.com/app/goods/2814804,219000,197100,디스이즈네버댓,28.6만 회 이상,5.4천 개 이상,"11,253",//image.msscdn.net/images/goods_img/20220923/2814804/2814804_1_500.jpg?t=20220928140039,52%,48%,17%,31%,21%,10%,6%,15%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Black,https://www.musinsa.com/app/goods/1173366,143000,89900,라퍼지스토어,37.1만 회 이상,2.1만 개 이상,"39,030",//image.msscdn.net/images/goods_img/20191001/1173366/1173366_10_500.jpg?t=20221018101043,67%,33%,15%,28%,23%,13%,6%,15%
REVERSIBLE WARM UP QUILTING JACKET BLACK / IVORY,https://www.musinsa.com/app/goods/2835510,129000,103200,예일,33.1만 회 이상,8.3천 개 이상,"19,863",//image.msscdn.net/images/goods_img/20221004/2835510/2835510_11_500.jpg?t=20221024120938,59%,41%,9%,33%,31%,14%,4%,9%
(22FW) WARM+ UP QUILTING JACKET BLACK,https://www.musinsa.com/app/goods/2704962,99000,79200,예일,76.2만 회 이상,2.1만 개 이상,"31,020",//image.msscdn.net/images/goods_img/20220808/2704962/2704962_11_500.jpg?t=20221028171621,59%,41%,7%,27%,31%,17%,7%,11%
파스텔 푸퍼_SPJPC4TG01,https://www.musinsa.com/app/goods/2037167,69900,62910,스파오,43.2만 회 이상,2.4만 개 이상,"49,945",//image.msscdn.net/images/goods_img/20210722/2037167/2037167_37_500.jpg?t=20221107144749,9%,91%,15%,35%,21%,10%,6%,13%
RDS 커버라이트 카라리스 다운 점퍼 블랙,https://www.musinsa.com/app/goods/2081586,119000,83300,커버낫,27.6만 회 이상,1.1만 개 이상,"28,394",//image.msscdn.net/images/goods_img/20210823/2081586/2081586_2_500.jpg?t=20220908183417,54%,46%,11%,20%,23%,16%,8%,22%
NJ1DN75A 남성 1996 에코 눕시 자켓,https://www.musinsa.com/app/goods/2482269,339000,339000,노스페이스,32만 회 이상,3.1천 개 이상,"17,855",//image.msscdn.net/images/goods_img/20220412/2482269/2482269_1_500.jpg?t=20220412151526,55%,45%,15%,22%,26%,15%,6%,16%
다운 푸퍼 숏 패딩 재킷 [블랙],https://www.musinsa.com/app/goods/912314,119900,119900,무신사 스탠다드,14.3만 회 이상,5.4천 개 이상,"14,290",//image.msscdn.net/images/goods_img/20181123/912314/912314_6_500.jpg?t=20201102163153,78%,22%,21%,27%,20%,11%,4%,17%
덕다운 아르틱 후드 패딩_Black,https://www.musinsa.com/app/goods/2877785,173000,128000,라퍼지스토어,25.2만 회 이상,2.6천 개 이상,"11,402",//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg?t=20221020201914,71%,29%,5%,33%,37%,14%,5%,6%
RDS 씨빅 다운 숏 푸퍼 블랙,https://www.musinsa.com/app/goods/1537633,179000,125300,커버낫,16.5만 회 이상,5.6천 개 이상,"16,454",//image.msscdn.net/images/goods_img/20200805/1537633/1537633_6_500.jpg?t=20221014113557,37%,63%,16%,22%,17%,9%,8%,28%
덕다운 미니멀 블루종 패딩_Black,https://www.musinsa.com/app/goods/2854421,138000,99800,라퍼지스토어,27.7만 회 이상,4.5천 개 이상,"15,420",//image.msscdn.net/images/goods_img/20221012/2854421/2854421_1_500.jpg?t=20221013171435,82%,18%,7%,30%,35%,16%,5%,7%
[호시 PICK] [DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_쿨그레이,https://www.musinsa.com/app/goods/1535337,124000,79900,코드그라피,23.1만 회 이상,8.6천 개 이상,"34,723",//image.msscdn.net/images/goods_img/20200803/1535337/1535337_1_500.jpg?t=20221021150317,71%,29%,13%,34%,22%,11%,6%,14%
씬에어(THINAIR)ECO LITE_Black,https://www.musinsa.com/app/goods/2059078,350000,252000,케이투,7.6만 회 이상,1.6천 개 이상,"6,176",//image.msscdn.net/images/goods_img/20210811/2059078/2059078_6_500.jpg?t=20220805141807,76%,24%,3%,15%,33%,29%,11%,9%
N224MDW920 헤론 U넥 경량 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2689357,149000,149000,내셔널지오그래픽,21.9만 회 이상,6.1천 개 이상,"14,960",//image.msscdn.net/images/goods_img/20220729/2689357/2689357_1_500.jpg?t=20220729170128,52%,48%,14%,25%,23%,10%,6%,22%
[정호연 착용] 여 블랙 숏 렝스 스탠드 카라 푸퍼 다운 재킷 J221163 BEH,https://www.musinsa.com/app/goods/2207133,279000,251100,캘빈클라인 진,7만 회 이상,800개 이상,"8,076",//image.msscdn.net/images/goods_img/20211029/2207133/2207133_29_500.jpg?t=20220929182652,10%,90%,16%,30%,29%,9%,2%,14%
[호시 PICK] [DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_블랙,https://www.musinsa.com/app/goods/1535333,124000,99900,코드그라피,26.7만 회 이상,6.5천 개 이상,"22,676",//image.msscdn.net/images/goods_img/20200803/1535333/1535333_2_500.jpg?t=20220921154124,70%,30%,14%,32%,23%,12%,6%,13%
베이직 스몰로고 숏패딩 NY (Black),https://www.musinsa.com/app/goods/2703957,289000,289000,엠엘비,11.6만 회 이상,900개 이상,"13,608",//image.msscdn.net/images/goods_img/20220808/2703957/2703957_1_500.jpg?t=20221021141538,27%,73%,28%,24%,11%,4%,3%,30%
N214MDW930 타루가 남성 RDS 덕 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2090552,359000,267200,내셔널지오그래픽,6.5만 회 이상,2.5천 개 이상,"6,395",//image.msscdn.net/images/goods_img/20210826/2090552/2090552_1_500.jpg?t=20220628163618,61%,39%,23%,17%,14%,6%,6%,34%
리버서블 덤블 숏푸퍼  WHJPC4V02U,https://www.musinsa.com/app/goods/2794809,129000,89900,후아유,13.2만 회 이상,3.3천 개 이상,"7,728",//image.msscdn.net/images/goods_img/20220915/2794809/2794809_8_500.jpg?t=20221011151747,48%,52%,10%,27%,25%,17%,9%,12%
22FW OVERSIZED M65 HOOD SHORT DOWN PARKA BLACK,https://www.musinsa.com/app/goods/2161486,269000,188300,비슬로우,7.5만 회 이상,2.2천 개 이상,"8,383",//image.msscdn.net/images/goods_img/20211005/2161486/2161486_1_500.jpg?t=20220921104402,88%,12%,10%,34%,38%,10%,3%,5%
(22FW) WARM+ UP QUILTING JACKET IVORY,https://www.musinsa.com/app/goods/2683529,99000,79200,예일,38.2만 회 이상,9.2천 개 이상,"24,768",//image.msscdn.net/images/goods_img/20220726/2683529/2683529_11_500.jpg?t=20221028171648,36%,64%,7%,27%,30%,17%,7%,12%
컨템포러리 몬스터 숏 파카 블랙 COOSJP037BLACK,https://www.musinsa.com/app/goods/2748089,219000,99000,세컨모놀로그,3.2만 회 이상,400개 이상,"1,201",//image.msscdn.net/images/goods_img/20220828/2748089/2748089_5_500.jpg?t=20221020152159,81%,19%,4%,22%,30%,24%,10%,10%
NJ1DN50J 화이트라벨 노벨티 눕시 다운 자켓,https://www.musinsa.com/app/goods/2071189,348000,348000,노스페이스,19.7만 회 이상,1.8천 개 이상,"17,574",//image.msscdn.net/images/goods_img/20210819/2071189/2071189_3_500.jpg?t=20220629095511,55%,45%,11%,23%,24%,17%,9%,16%
[정호연 착용] 여 아이보리 숏 렝스 스탠드 카라 푸퍼 다운 재킷 J221163 ACF,https://www.musinsa.com/app/goods/2207132,279000,251100,캘빈클라인 진,10.2만 회 이상,900개 이상,"10,827",//image.msscdn.net/images/goods_img/20211029/2207132/2207132_38_500.jpg?t=20221006102512,12%,88%,12%,31%,32%,12%,3%,10%
RDS 롱 다운 파카 블랙,https://www.musinsa.com/app/goods/1616798,279000,195300,커버낫,5.8만 회 이상,6.7천 개 이상,"13,584",//image.msscdn.net/images/goods_img/20200922/1616798/1616798_4_500.jpg?t=20221014113754,42%,58%,11%,31%,29%,10%,4%,15%
베이직 스몰로고 숏패딩 NY (Cream),https://www.musinsa.com/app/goods/2703967,289000,289000,엠엘비,6.6만 회 이상,500개 이상,"9,221",//image.msscdn.net/images/goods_img/20220808/2703967/2703967_2_500.jpg?t=20220906122829,17%,83%,27%,30%,12%,6%,1%,24%
WARM UP+ SHORT PUFFER (PADDING) BLACK,https://www.musinsa.com/app/goods/2853383,219000,175200,예일,5.1만 회 이상,400개 이상,"2,828",//image.msscdn.net/images/goods_img/20221012/2853383/2853383_6_500.jpg?t=20221028164241,42%,58%,12%,33%,26%,13%,5%,11%
마스터 구스다운 숏패딩 -블랙-,https://www.musinsa.com/app/goods/910127,339000,189000,집시,5.3만 회 이상,3.4천 개 이상,"13,123",//image.msscdn.net/images/goods_img/20181121/910127/910127_3_500.jpg?t=20220815140325,83%,17%,12%,31%,31%,13%,3%,10%
3M 신슐레이트 보아 플리스 무톤 자켓 베이지,https://www.musinsa.com/app/goods/1690701,111700,69900,파르티멘토,20.3만 회 이상,8.2천 개 이상,"48,071",//image.msscdn.net/images/goods_img/20201116/1690701/1690701_1_500.jpg?t=20201116171133,60%,40%,7%,41%,31%,13%,3%,5%
[호시 PICK] 헤비 보아 플리스 무톤 자켓_베이지,https://www.musinsa.com/app/goods/2137196,109000,94900,코드그라피,17.4만 회 이상,3.2천 개 이상,"35,693",//image.msscdn.net/images/goods_img/20210916/2137196/2137196_2_500.jpg?t=20221108093759,44%,56%,16%,35%,27%,11%,3%,8%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Soft Gray,https://www.musinsa.com/app/goods/1173385,143000,89900,라퍼지스토어,10.2만 회 이상,6.8천 개 이상,"34,301",//image.msscdn.net/images/goods_img/20191001/1173385/1173385_10_500.jpg?t=20221018101118,69%,31%,13%,29%,22%,13%,6%,17%
글로시 크롭 푸퍼 자켓-실버,https://www.musinsa.com/app/goods/2792168,109000,84900,비터셀즈,12.3만 회 이상,2.1천 개 이상,"9,992",//image.msscdn.net/images/goods_img/20220914/2792168/2792168_2_500.jpg?t=20220915163050,5%,95%,5%,37%,32%,14%,5%,7%
Korea Logo Wellon Padding 화이트,https://www.musinsa.com/app/goods/2214501,175000,175000,코카-콜라,7.1만 회 이상,,"1,759",//image.msscdn.net/images/goods_img/20211103/2214501/2214501_1_500.jpg?t=20211103153928,,,,,,,,
[DIVO] RDS 유틸리티 덕다운 후드 숏패딩_블랙,https://www.musinsa.com/app/goods/1593175,144000,119000,코드그라피,7.6만 회 이상,2.3천 개 이상,"8,314",//image.msscdn.net/images/goods_img/20200909/1593175/1593175_1_500.jpg?t=20220916134301,60%,40%,6%,26%,32%,16%,7%,13%
덕다운 아르틱 후드 패딩_Deep Khaki,https://www.musinsa.com/app/goods/2877782,173000,128000,라퍼지스토어,8.8만 회 이상,900개 이상,"4,564",//image.msscdn.net/images/goods_img/20221019/2877782/2877782_1_500.jpg?t=20221020202742,80%,20%,4%,29%,40%,18%,5%,4%
숏 퀼팅 자켓 블랙,https://www.musinsa.com/app/goods/1576737,89000,71200,커버낫,23.6만 회 이상,7.3천 개 이상,"29,046",//image.msscdn.net/images/goods_img/20200901/1576737/1576737_3_500.jpg?t=20220907145351,60%,40%,8%,28%,32%,15%,7%,10%
NJ1DN75B 남성 1996 에코 눕시 자켓,https://www.musinsa.com/app/goods/2081549,339000,339000,노스페이스,9.1만 회 이상,700개 이상,"10,141",//image.msscdn.net/images/goods_img/20210823/2081549/2081549_1_500.jpg?t=20221116120202,36%,64%,32%,17%,12%,5%,5%,29%
REVERSIBLE WARM UP QUILTING JACKET IVORY,https://www.musinsa.com/app/goods/2835519,129000,103200,예일,11.9만 회 이상,2천 개 이상,"9,424",//image.msscdn.net/images/goods_img/20221004/2835519/2835519_11_500.jpg?t=20221007142831,21%,79%,10%,33%,34%,12%,4%,7%
쉘블록 2-WAY 보아퍼 숏패딩_라이트베이지,https://www.musinsa.com/app/goods/2156482,109000,99900,키뮤어,11.8만 회 이상,1.1천 개 이상,"11,000",//image.msscdn.net/images/goods_img/20210930/2156482/2156482_2_500.jpg?t=20220923162633,52%,48%,8%,41%,29%,12%,3%,7%
[내피분리형] US-ARMY 밀리터리 피쉬테일 후드 숏파카_블랙,https://www.musinsa.com/app/goods/2285078,129000,89900,코드그라피,8.9만 회 이상,2.8천 개 이상,"12,148",//image.msscdn.net/images/goods_img/20211228/2285078/2285078_2_500.jpg?t=20220818181604,67%,33%,7%,35%,30%,14%,6%,8%
남녀공용 베이직 푸퍼 다운_MM4W9891,https://www.musinsa.com/app/goods/2727740,108000,97200,게스,17.8만 회 이상,1.8천 개 이상,"18,138",//image.msscdn.net/images/goods_img/20220818/2727740/2727740_1_500.jpg?t=20220818200334,11%,89%,13%,34%,29%,11%,3%,10%
[유아인 착용 상품] 리버서블 플리스 숏 패딩 재킷 [블랙/크림],https://www.musinsa.com/app/goods/2653637,89900,89900,무신사 스탠다드,17.8만 회 이상,2.7천 개 이상,"8,260",//image.msscdn.net/images/goods_img/20220708/2653637/2653637_3_500.jpg?t=20221021140840,81%,19%,12%,28%,27%,16%,5%,12%
드로스트링 립스탑 구스 다운 자켓 BLACK,https://www.musinsa.com/app/goods/2780194,299000,239200,인사일런스,3.9만 회 이상,400개 이상,"1,747",//image.msscdn.net/images/goods_img/20220907/2780194/2780194_2_500.jpg?t=20220923165327,89%,11%,6%,30%,36%,16%,4%,8%
PERTEX® T Down Jacket Light Grey,https://www.musinsa.com/app/goods/2814807,219000,197100,디스이즈네버댓,5.8만 회 이상,800개 이상,"2,423",//image.msscdn.net/images/goods_img/20220923/2814807/2814807_1_500.jpg?t=20220928135449,46%,54%,15%,30%,22%,9%,5%,19%
헤비 보아 플리스 무톤 자켓_블랙,https://www.musinsa.com/app/goods/2744495,109000,94900,코드그라피,24.9만 회 이상,2.3천 개 이상,"20,400",//image.msscdn.net/images/goods_img/20220825/2744495/2744495_3_500.jpg?t=20221021145824,62%,38%,19%,42%,22%,5%,2%,10%
STOOKY (스투키) UNI 다운 자켓_Ebony,https://www.musinsa.com/app/goods/2059311,399000,339000,아이더,3.3만 회 이상,300개 이상,"2,957",//image.msscdn.net/images/goods_img/20210812/2059311/2059311_6_500.jpg?t=20220816174004,44%,56%,35%,10%,5%,3%,4%,43%
N224WDW920 여성 헤론 U넥 경량 덕다운 점퍼 L BEIGE,https://www.musinsa.com/app/goods/2728611,149000,149000,내셔널지오그래픽,14.4만 회 이상,3.2천 개 이상,"22,185",//image.msscdn.net/images/goods_img/20220819/2728611/2728611_4_500.jpg?t=20220819132604,19%,81%,16%,27%,20%,8%,5%,24%
N224UDW901 듀공 후드 숏기장 덕 다운 점퍼 MOURNING BEIGE,https://www.musinsa.com/app/goods/2685579,299000,259000,내셔널지오그래픽,4.9만 회 이상,300개 이상,"2,882",//image.msscdn.net/images/goods_img/20220727/2685579/2685579_7_500.jpg?t=20220920131026,54%,46%,9%,20%,31%,21%,7%,12%
에센셜 푸퍼 숏 패딩_그레이,https://www.musinsa.com/app/goods/1726367,199000,49800,닉앤니콜,9.2만 회 이상,1.2천 개 이상,"12,817",//image.msscdn.net/images/goods_img/20201218/1726367/1726367_2_500.jpg?t=20210104142753,34%,66%,22%,29%,17%,7%,4%,21%
[3M 신슐레이트] 퀄팅 가디건 후드자켓_Black,https://www.musinsa.com/app/goods/2813329,76000,59900,라퍼지스토어,9.3만 회 이상,1.7천 개 이상,"7,691",//image.msscdn.net/images/goods_img/20220922/2813329/2813329_1_500.jpg?t=20220922210318,41%,59%,9%,27%,29%,16%,7%,12%
3M 신슐레이트 푸퍼 패딩 자켓 그레이쉬 블루,https://www.musinsa.com/app/goods/1660617,124100,79900,파르티멘토,4.3만 회 이상,3.8천 개 이상,"22,825",//image.msscdn.net/images/goods_img/20201022/1660617/1660617_1_500.jpg?t=20201022181121,74%,26%,7%,43%,31%,10%,3%,6%
픽토르 U 구스다운 경량패딩 (IVORY),https://www.musinsa.com/app/goods/2636719,159000,159000,디스커버리 익스페디션,6.8만 회 이상,1.3천 개 이상,"7,413",//image.msscdn.net/images/goods_img/20220628/2636719/2636719_5_500.jpg?t=20221109152343,34%,66%,18%,27%,29%,12%,3%,11%
BOA SHORT PUFFER BLOUSON (PADDING) BLACK,https://www.musinsa.com/app/goods/2853377,219000,175200,예일,4.5만 회 이상,300개 이상,"3,203",//image.msscdn.net/images/goods_img/20221012/2853377/2853377_6_500.jpg?t=20221028164427,52%,48%,11%,43%,26%,8%,2%,10%
리버서블 크롭 푸퍼_SPJPC4VG01,https://www.musinsa.com/app/goods/2596357,89900,69900,스파오,6.4만 회 이상,900개 이상,"7,395",//image.msscdn.net/images/goods_img/20220602/2596357/2596357_35_500.jpg?t=20221108102316,16%,84%,17%,31%,25%,6%,5%,16%
[NF] 바바치카 벨벳 패딩 (BLACK)_FZA232,https://www.musinsa.com/app/goods/2202214,159000,111300,네스티팬시클럽,1만 회 이상,200개 이상,"1,814",//image.msscdn.net/images/goods_img/20211027/2202214/2202214_1_500.jpg?t=20211104132742,6%,94%,14%,39%,22%,10%,4%,11%
BLACK DOUBLE LONG GOOSE DOWN,https://www.musinsa.com/app/goods/1647181,389000,289000,메종미네드,8.4만 회 이상,2.6천 개 이상,"12,672",//image.msscdn.net/images/goods_img/20201014/1647181/1647181_2_500.jpg?t=20201023180910,91%,9%,5%,13%,38%,27%,11%,6%
WARM UP+ SHORT PUFFER (PADDING) IVORY,https://www.musinsa.com/app/goods/2853388,219000,175200,예일,2.8만 회 이상,100개 이상,"1,914",//image.msscdn.net/images/goods_img/20221012/2853388/2853388_21_500.jpg?t=20221102151757,25%,75%,9%,31%,26%,18%,3%,13%
컨템포러리 몬스터 숏 파카 카키 COOSJP037KHAKI,https://www.musinsa.com/app/goods/2748087,219000,99000,세컨모놀로그,1.4만 회 이상,200개 이상,655,//image.msscdn.net/images/goods_img/20220828/2748087/2748087_5_500.jpg?t=20221019173430,84%,16%,3%,19%,26%,26%,10%,16%
[20FW] Nylon puffer short-down 9553 BLACK,https://www.musinsa.com/app/goods/1541067,328000,164000,캉골,2.5만 회 이상,200개 이상,"3,917",//image.msscdn.net/images/goods_img/20200807/1541067/1541067_1_500.jpg?t=20200820121105,31%,69%,20%,30%,13%,5%,6%,26%
LUKE PUFFER JACKET - GLOSSY BLACK,https://www.musinsa.com/app/goods/2684076,259000,217560,노매뉴얼,3.2만 회 이상,300개 이상,"2,063",//image.msscdn.net/images/goods_img/20220727/2684076/2684076_1_500.jpg?t=20220802132803,77%,23%,14%,41%,23%,9%,2%,11%
루트 패딩(2 colors),https://www.musinsa.com/app/goods/2801487,389000,389000,그로브,9.9천 회 이상,100개 이상,"1,287",//image.msscdn.net/images/goods_img/20220919/2801487/2801487_3_500.jpg?t=20221122165925,3%,97%,6%,24%,43%,19%,6%,2%
CORDUROY WARM UP+ SHORT PUFFER (PADDING) NAVY,https://www.musinsa.com/app/goods/2853384,219000,175200,예일,3.8만 회 이상,200개 이상,"1,847",//image.msscdn.net/images/goods_img/20221012/2853384/2853384_6_500.jpg?t=20221028164205,41%,59%,8%,34%,34%,13%,3%,8%
DOPE DUCK DOWN SHORT PADDING JUMPER [LROWCUW705M],https://www.musinsa.com/app/goods/1573487,159000,99000,그루브라임,4만 회 이상,3.6천 개 이상,"16,498",//image.msscdn.net/images/goods_img/20200901/1573487/1573487_3_500.jpg?t=20201006141924,66%,34%,14%,23%,19%,13%,12%,19%
글로시 크롭 푸퍼 자켓-블랙,https://www.musinsa.com/app/goods/2792169,109000,84900,비터셀즈,6.7만 회 이상,1.6천 개 이상,"7,156",//image.msscdn.net/images/goods_img/20220914/2792169/2792169_2_500.jpg?t=20220916102724,6%,94%,7%,42%,30%,10%,5%,6%
RDS 씨빅 다운 숏 푸퍼 그레이,https://www.musinsa.com/app/goods/1537634,179000,125300,커버낫,5.5만 회 이상,2.7천 개 이상,"16,928",//image.msscdn.net/images/goods_img/20200805/1537634/1537634_10_500.jpg?t=20221014113624,43%,57%,17%,22%,20%,10%,6%,25%
PERTEX® T Down Jacket Brown,https://www.musinsa.com/app/goods/2814805,219000,197100,디스이즈네버댓,3.1만 회 이상,500개 이상,"1,695",//image.msscdn.net/images/goods_img/20220923/2814805/2814805_1_500.jpg?t=20220928135904,32%,68%,7%,37%,25%,15%,7%,9%
[ONEMILE WEAR] DAILY SHORT PUFFER (PADDING) BLACK,https://www.musinsa.com/app/goods/2853391,169000,135200,예일,1.8만 회 이상,100개 이상,942,//image.msscdn.net/images/goods_img/20221012/2853391/2853391_6_500.jpg?t=20221028162743,43%,57%,20%,26%,25%,6%,4%,19%
Hooded Down Jacket Black,https://www.musinsa.com/app/goods/2874369,259000,181300,예스아이씨,2.3만 회 이상,200개 이상,"1,259",//image.msscdn.net/images/goods_img/20221018/2874369/2874369_1_500.jpg?t=20221019153904,62%,38%,16%,38%,19%,11%,4%,12%
남성 W 롤프 패딩 - 블랙 / A064230BFAQ9XX,https://www.musinsa.com/app/goods/2757860,560000,280000,디젤,1만 회 이상,50개 이상,232,//image.msscdn.net/images/goods_img/20220831/2757860/2757860_1_500.jpg?t=20220923162213,90%,10%,6%,18%,37%,26%,9%,4%
[프리미엄] 구스 다운 푸퍼 숏 패딩 재킷 [블랙],https://www.musinsa.com/app/goods/1648072,179900,161890,무신사 스탠다드,,,"3,274",//image.msscdn.net/images/goods_img/20201014/1648072/1648072_3_500.jpg?t=20210318150517,,,,,,,,
N224MDW890 남성 카이만 프로 롱기장 구스 다운 점퍼 SMALL LOGO BLACK,https://www.musinsa.com/app/goods/2685520,439000,369000,내셔널지오그래픽,1.3만 회 이상,200개 이상,576,//image.msscdn.net/images/goods_img/20220727/2685520/2685520_5_500.jpg?t=20221026150346,57%,43%,6%,20%,39%,18%,5%,12%
씬에어(THINAIR)ECO LONG_Black,https://www.musinsa.com/app/goods/2059072,390000,280800,케이투,2.4만 회 이상,1.5천 개 이상,"2,911",//image.msscdn.net/images/goods_img/20210811/2059072/2059072_6_500.jpg?t=20220805141858,62%,38%,4%,7%,32%,31%,14%,12%
N214WDW930 여성 타루가 RDS 덕 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2122584,359000,267200,내셔널지오그래픽,1.2만 회 이상,700개 이상,"2,776",//image.msscdn.net/images/goods_img/20210910/2122584/2122584_4_500.jpg?t=20220628165132,23%,77%,22%,19%,12%,6%,7%,34%
엔젤 퀼팅 자켓 올리브,https://www.musinsa.com/app/goods/2807609,109000,98100,와릿이즌,2.8만 회 이상,200개 이상,962,//image.msscdn.net/images/goods_img/20220921/2807609/2807609_3_500.jpg?t=20220930132238,47%,53%,6%,15%,23%,22%,16%,18%
숏 푸퍼 자켓(GREEN),https://www.musinsa.com/app/goods/2799766,178000,160200,프라이,6천 회 이상,50개 이상,209,//image.msscdn.net/images/goods_img/20220916/2799766/2799766_2_500.jpg?t=20221111123732,56%,44%,2%,15%,18%,19%,14%,32%
홀로 파이버 바시티 패딩_Black,https://www.musinsa.com/app/goods/2854969,113000,79900,라퍼지스토어,4.4만 회 이상,300개 이상,"3,278",//image.msscdn.net/images/goods_img/20221012/2854969/2854969_1_500.jpg?t=20221013171535,79%,21%,12%,30%,22%,13%,10%,13%
씬에어(THINAIR)ECO LITE_Light Grey,https://www.musinsa.com/app/goods/2059077,350000,252000,케이투,3.1만 회 이상,400개 이상,"3,346",//image.msscdn.net/images/goods_img/20210811/2059077/2059077_6_500.jpg?t=20220805141832,82%,18%,4%,16%,35%,24%,11%,10%
NC3NN50J 화이트라벨 알칸 EX 온볼 코트,https://www.musinsa.com/app/goods/2734110,258000,232200,노스페이스,7.6만 회 이상,900개 이상,"5,174",//image.msscdn.net/images/goods_img/20220823/2734110/2734110_1_500.jpg?t=20220823102539,47%,53%,13%,27%,34%,11%,3%,12%
크랙 더블 레이어 다운 자켓 BLACK,https://www.musinsa.com/app/goods/2780197,239000,191200,인사일런스,3.2만 회 이상,400개 이상,"1,432",//image.msscdn.net/images/goods_img/20220907/2780197/2780197_2_500.jpg?t=20220923165034,87%,13%,8%,36%,31%,13%,6%,6%
BOA SHORT PUFFER BLOUSON (PADDING) NAVY,https://www.musinsa.com/app/goods/2853379,219000,175200,예일,3.2만 회 이상,100개 이상,"2,235",//image.msscdn.net/images/goods_img/20221012/2853379/2853379_6_500.jpg?t=20221028164520,50%,50%,9%,29%,30%,20%,0%,12%
RDS 울버린 N2B 다운 파카 블랙,https://www.musinsa.com/app/goods/2900756,269000,215200,커버낫,6천 회 이상,50개 미만,306,//image.msscdn.net/images/goods_img/20221027/2900756/2900756_1_500.jpg?t=20221027191430,64%,36%,23%,29%,15%,15%,8%,10%
NC2DN72A 챌린지 에어 다운 코트,https://www.musinsa.com/app/goods/2718029,439000,395100,노스페이스,1.5만 회 이상,100개 이상,707,//image.msscdn.net/images/goods_img/20220816/2718029/2718029_1_500.jpg?t=20220816133704,57%,43%,5%,26%,47%,14%,3%,5%
MOUNTAIN DOWN PARKA_BLACK,https://www.musinsa.com/app/goods/2857040,234000,210600,아웃스탠딩,3.5만 회 이상,200개 이상,"1,510",//image.msscdn.net/images/goods_img/20221013/2857040/2857040_1_500.jpg?t=20221017095653,87%,13%,7%,27%,36%,18%,5%,7%
NJ1DN90C 남성 1996 레트로 눕시 자켓,https://www.musinsa.com/app/goods/2676191,339000,339000,노스페이스,1.2만 회 이상,100개 이상,889,//image.msscdn.net/images/goods_img/20220721/2676191/2676191_1_500.jpg?t=20220721142000,63%,37%,8%,13%,31%,25%,10%,13%
픽토르 U 구스다운 경량패딩 (BLACK),https://www.musinsa.com/app/goods/2636720,159000,159000,디스커버리 익스페디션,7.5만 회 이상,2.3천 개 이상,"4,820",//image.msscdn.net/images/goods_img/20220628/2636720/2636720_7_500.jpg?t=20221109153333,49%,51%,13%,21%,26%,16%,7%,17%
하이 넥 다운 점퍼 샤이니 블랙,https://www.musinsa.com/app/goods/2732383,259000,159000,플랙,5.3만 회 이상,500개 이상,"2,114",//image.msscdn.net/images/goods_img/20220822/2732383/2732383_1_500.jpg?t=20221021131508,86%,14%,10%,29%,27%,16%,8%,10%
여성 크롭 숏푸퍼 덕다운 숏패딩 네이비,https://www.musinsa.com/app/goods/2686473,179000,143200,리,2.1만 회 이상,200개 이상,"2,274",//image.msscdn.net/images/goods_img/20220728/2686473/2686473_3_500.jpg?t=20220906160833,6%,94%,6%,34%,33%,9%,9%,9%
덕다운 아르틱 후드 패딩_Silver Gray,https://www.musinsa.com/app/goods/2877783,173000,128000,라퍼지스토어,7.6만 회 이상,800개 이상,"3,676",//image.msscdn.net/images/goods_img/20221019/2877783/2877783_1_500.jpg?t=20221020202010,73%,27%,5%,32%,37%,15%,4%,7%
다운 푸퍼 숏 패딩 재킷 [라이트 그레이],https://www.musinsa.com/app/goods/912315,119900,119900,무신사 스탠다드,4.2만 회 이상,3.1천 개 이상,"11,015",//image.msscdn.net/images/goods_img/20181123/912315/912315_6_500.jpg?t=20201102163140,77%,23%,25%,29%,16%,9%,3%,18%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Almond milk,https://www.musinsa.com/app/goods/1611979,143000,89900,라퍼지스토어,6.7만 회 이상,2.4천 개 이상,"9,295",//image.msscdn.net/images/goods_img/20200918/1611979/1611979_7_500.jpg?t=20221018151019,38%,62%,11%,26%,25%,14%,7%,17%
