제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
N224WDW770 여성 카이만 프로 롱기장 구스 다운 점퍼 L BLUE,https://www.musinsa.com/app/goods/2685525,439000,369000,내셔널지오그래픽,4.5천 회 이상,,372,//image.msscdn.net/images/goods_img/20220727/2685525/2685525_10_500.jpg?t=20220829093226,,,,,,,,
여성) 퀼팅 리버시블 롱 다운 점퍼,https://www.musinsa.com/app/goods/2925936,399000,399000,라이프워크,700회 이상,,49,//image.msscdn.net/images/goods_img/20221107/2925936/2925936_2_500.jpg?t=20221107183659,,,,,,,,
NBNPC41023 / UNI 액티브 롱 구스 다운 자켓 (BLACK),https://www.musinsa.com/app/goods/1118566,359000,359000,뉴발란스,1.7천 회 이상,,419,//image.msscdn.net/images/goods_img/20190814/1118566/1118566_5_500.jpg?t=20221110142240,,,,,,,,
뉴 필드 다운 오버코트 네이비,https://www.musinsa.com/app/goods/2857381,420000,420000,비범스,300회 이상,,11,//image.msscdn.net/images/goods_img/20221013/2857381/2857381_1_500.png?t=20221013110414,,,,,,,,
피쉬테일 RDS 덕다운 파카 엘리펀트,https://www.musinsa.com/app/goods/2702878,269000,215200,디써티원,,,18,//image.msscdn.net/images/goods_img/20220808/2702878/2702878_2_500.jpg?t=20220916115058,,,,,,,,
CORDUROY COLLAR WARM UP QUILTING JACKET IVORY,https://www.musinsa.com/app/goods/2788237,109000,76300,예일,3.2만 회 이상,200개 이상,"3,205",//image.msscdn.net/images/goods_img/20220913/2788237/2788237_11_500.jpg?t=20221028163252,21%,79%,8%,25%,32%,17%,8%,10%
마운틴쿡 RDS 다운 숏패딩 (BLACK),https://www.musinsa.com/app/goods/2829392,359000,359000,디스커버리 익스페디션,1.2만 회 이상,50개 이상,595,//image.msscdn.net/images/goods_img/20220929/2829392/2829392_1_500.jpg?t=20220929142903,51%,49%,25%,17%,14%,9%,5%,30%
[20FW] NEW STELOL (뉴 스테롤) 남녀공용 롱 다운자켓 White,https://www.musinsa.com/app/goods/1523901,399000,179000,아이더,2.5만 회 이상,100개 이상,"2,199",//image.msscdn.net/images/goods_img/20200722/1523901/1523901_2_500.jpg?t=20220628155713,15%,85%,23%,35%,25%,5%,0%,12%
[오늘의 주우재] [Mmlg] TRAVEL DOWN (META BLUE),https://www.musinsa.com/app/goods/2582832,219000,153300,엠엠엘지,3.4천 회 이상,,350,//image.msscdn.net/images/goods_img/20220525/2582832/2582832_1_500.jpg?t=20220817174946,,,,,,,,
NJ1DM62F 남성 1996 에코 눕시 자켓,https://www.musinsa.com/app/goods/2081546,299000,299000,노스페이스,7.2천 회 이상,300개 이상,865,//image.msscdn.net/images/goods_img/20210823/2081546/2081546_2_500.jpg?t=20210824105951,59%,41%,1%,9%,13%,16%,21%,40%
